catalog_id,title,category,bucket,ocl_constraint,note
A1,Project-Process-Kardinalität,Cardinality,PURE_OCL_LIVE,ProjectMinimumProcess,
A2,SystemLimit-Kardinalität,Cardinality,PURE_OCL_LIVE,SystemLimitCardinality,
A3,State-Mindest-Kardinalität,Cardinality,PURE_OCL_LIVE,StateMinimumCardinality,
A4,ProcessOperator-Mindest-Kard.,Cardinality,PURE_OCL_LIVE,ProcessOperatorMinimumCardinality,
A5,TechnicalResource-Kardinalität,Cardinality,OPEN_PHASE2_OR_INFORMATIVE,,"informativ, keine Validierung"
B1,State innerhalb SystemLimit,Geometry,OPEN_PLUGIN_GEOMETRY,StateWithinSystemLimit,Plugin-Layer
B2,PO innerhalb SystemLimit,Geometry,OPEN_PLUGIN_GEOMETRY,ProcessOperatorWithinSystemLimit,Plugin-Layer
B3,TR außerhalb SystemLimit,Geometry,OPEN_PLUGIN_GEOMETRY,TechnicalResourceOutsideSystemLimit,Plugin-Layer
B4,SystemLimit umfasst Inhalt,Geometry,OPEN_PLUGIN_GEOMETRY,SystemLimitBoundingContainer,Plugin-Layer
B5,Keine Überlappung SL ↔ TR,Geometry,OPEN_PLUGIN_GEOMETRY,SystemLimitTechnicalResourceNoOverlap,Plugin-Layer
B6,Boundary-State auf SL-Rand,Geometry,OPEN_PLUGIN_GEOMETRY,BoundaryStateOnSystemLimitBorder,Plugin-Layer
C1,Flow State↔PO,Connection,PURE_OCL_LIVE,FlowEndpointsTyped,
C2,Kein Flow State→State,Connection,PURE_OCL_LIVE,NoStateToStateFlow,
C3,Kein Flow PO→PO,Connection,PURE_OCL_LIVE,NoProcessOperatorToProcessOperatorFlow,
C4,Usage PO↔TR,Connection,PURE_OCL_LIVE,UsageEndpointsTyped,
C5,Keine doppelten Connections,Connection,PURE_OCL_LIVE,NoDuplicateConnections,
C6,Flow ist directed,Connection,PURE_OCL_LIVE,FlowDirected,
C7,Kanonische FPD-Interfaces,Connection,OPEN_PHASE2_OR_INFORMATIVE,CanonicalFpdInterfaces,durch Mapper sichergestellt
C8,ParallelFlow-Konsistenz,Connection,OPEN_PHASE2_OR_INFORMATIVE,,Phase 2: requires-pair semantics
C9,Keine gemischten Flow-Typen,Connection,PURE_OCL_LIVE,NoMixedFlowTypes,
